field_id,name,type,is_identifier,required,doc,partition_transform,source_name,comment
404,interval5_16_40_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:40",,太陽光発電実績(5分間値)(万kW),
405,interval5_16_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:45",,当日実績(5分間隔値)(万kW),
406,interval5_16_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:45",,太陽光発電実績(5分間値)(万kW),
407,interval5_16_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:50",,当日実績(5分間隔値)(万kW),
408,interval5_16_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:50",,太陽光発電実績(5分間値)(万kW),
409,interval5_16_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 16:55",,当日実績(5分間隔値)(万kW),
410,interval5_16_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 16:55",,太陽光発電実績(5分間値)(万kW),
411,interval5_17_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:00",,当日実績(5分間隔値)(万kW),
412,interval5_17_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:00",,太陽光発電実績(5分間値)(万kW),
413,interval5_17_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:05",,当日実績(5分間隔値)(万kW),
414,interval5_17_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:05",,太陽光発電実績(5分間値)(万kW),
415,interval5_17_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:10",,当日実績(5分間隔値)(万kW),
416,interval5_17_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:10",,太陽光発電実績(5分間値)(万kW),
417,interval5_17_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:15",,当日実績(5分間隔値)(万kW),
418,interval5_17_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:15",,太陽光発電実績(5分間値)(万kW),
419,interval5_17_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:20",,当日実績(5分間隔値)(万kW),
420,interval5_17_20_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:20",,太陽光発電実績(5分間値)(万kW),
421,interval5_17_25_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:25",,当日実績(5分間隔値)(万kW),
422,interval5_17_25_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:25",,太陽光発電実績(5分間値)(万kW),
423,interval5_17_30_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:30",,当日実績(5分間隔値)(万kW),
424,interval5_17_30_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:30",,太陽光発電実績(5分間値)(万kW),
425,interval5_17_35_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:35",,当日実績(5分間隔値)(万kW),
426,interval5_17_35_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:35",,太陽光発電実績(5分間値)(万kW),
427,interval5_17_40_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:40",,当日実績(5分間隔値)(万kW),
428,interval5_17_40_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:40",,太陽光発電実績(5分間値)(万kW),
429,interval5_17_45_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:45",,当日実績(5分間隔値)(万kW),
430,interval5_17_45_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:45",,太陽光発電実績(5分間値)(万kW),
431,interval5_17_50_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:50",,当日実績(5分間隔値)(万kW),
432,interval5_17_50_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:50",,太陽光発電実績(5分間値)(万kW),
433,interval5_17_55_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 17:55",,当日実績(5分間隔値)(万kW),
434,interval5_17_55_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 17:55",,太陽光発電実績(5分間値)(万kW),
435,interval5_18_00_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:00",,当日実績(5分間隔値)(万kW),
436,interval5_18_00_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:00",,太陽光発電実績(5分間値)(万kW),
437,interval5_18_05_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:05",,当日実績(5分間隔値)(万kW),
438,interval5_18_05_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:05",,太陽光発電実績(5分間値)(万kW),
439,interval5_18_10_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:10",,当日実績(5分間隔値)(万kW),
440,interval5_18_10_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:10",,太陽光発電実績(5分間値)(万kW),
441,interval5_18_15_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:15",,当日実績(5分間隔値)(万kW),
442,interval5_18_15_solar_generation_actual,string,FALSE,FALSE,"5-min solar generation actual (10,000 kW) at 18:15",,太陽光発電実績(5分間値)(万kW),
443,interval5_18_20_actual_demand,string,FALSE,FALSE,"5-min actual demand (10,000 kW) at 18:20",,当日実績(5分間隔値)(万kW),
